Img-id;VM - Hair;NO - Hair;DO - Hair;ET-Hair;ED - Hair;VM - Pen;NO - Pen;DO - Pen;ET-Pen;ED-Pen;Extra notes
PAT_46_881_939.png;;;;;1;;;;;1;
PAT_53_1370_245.png;;;;;0;;;;;0;
PAT_479_919_97.png;;;;;2;;;;;1;
PAT_1014_86_861.png;;;;;3;;;;;1;
PAT_882_1677_789.png;;;;;0;;;;;1;
PAT_1688_3066_491.png;;;;;0;;;;;0;
PAT_430_848_476.png;;;;;0;;;;;0;
PAT_377_1580_534.png;;;;;3;;;;;0;
PAT_1410_1410_46.png;;;;;0;;;;;1;
PAT_691_1311_686.png;;;;;3;;;;;0;
PAT_465_901_627.png;;;;;0;;;;;0;
PAT_249_380_366.png;;;;;1;;;;;0;
PAT_82_125_365.png;;;;;0;;;;;0;
PAT_54_83_405.png;;;;;0;;;;;1;
PAT_699_1320_901.png;;;;;0;;;;;0;
PAT_1942_3915_388.png;;;;;1;;;;;0;
PAT_256_394_449.png;;;;;1;;;;;0;
PAT_962_1823_857.png;;;;;1;;;;;0;
PAT_665_1262_774.png;;;;;0;;;;;0;
PAT_645_1223_124.png;;;;;0;;;;;1;
PAT_145_216_158.png;;;;;0;;;;;0;
PAT_770_1451_136.png;;;;;2;;;;;0;
PAT_1257_887_828.png;;;;;0;;;;;0;
PAT_128_194_144.png;;;;;0;;;;;1;
PAT_1109_436_141.png;;;;;1;;;;;0;
PAT_211_319_777.png;;;;;1;;;;;1;
PAT_851_4519_488.png;;;;;0;;;;;0;
PAT_801_1518_78.png;;;;;2;;;;;0;
PAT_1122_479_664.png;;;;;0;;;;;0;
PAT_400_801_376.png;;;;;0;;;;;0;
PAT_637_1434_570.png;;;;;0;;;;;0;
PAT_1420_1461_93.png;;;;;0;;;;;0;
PAT_330_696_894.png;;;;;1;;;;;0;
PAT_776_1466_241.png;;;;;1;;;;;0;
PAT_749_1415_164.png;;;;;1;;;;;1;
PAT_1479_1669_376.png;;;;;0;;;;;1;
